,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019
New cars,142.561,142.357,142.774,142.824,143.016,143.148,143.072,143.075,142.787,142.748,142.559,142.665
New trucks,155.85,156.034,156.478,156.553,156.506,156.364,156.388,156.201,156.189,156.134,156.068,156.342
Used cars and trucks,139.818,139.442,138.545,139.208,138.187,139.927,140.455,141.104,141.983,140.254,139.31,138.73
Motor vehicle parts and equipment,145.591,145.466,145.823,145.555,146.445,146.554,145.808,146.368,147.314,146.957,147.608,147.757
Tires,124.369,124.682,124.866,124.417,125.042,125.214,124.688,124.876,125.825,124.964,125.742,125.542
Vehicle accessories other than tires,174.403,173.402,174.076,174.201,175.542,175.514,174.395,175.655,176.5,177.202,177.531,178.376
Vehicle parts and equipment other than tires,164.328,164.036,163.997,165.557,166.547,166.13,164.02,165.419,166.075,166.906,167.719,168.146
"Motor oil, coolant, and fluids",400.581,381.914,401.644,380.713,385.2,387.792,403.074,399.012,404.34,394.692,389.716,410.895
Medical care commodities,379.633,376.947,378.745,380.668,380.597,379.839,380.409,381.163,380.598,384.308,384.365,388.323
Medicinal drugs,124.359,123.301,124.07,125.089,124.709,124.23,124.364,124.405,124.409,125.601,125.557,127.144
Prescription drugs,524.024,520.009,523.756,528.95,526.564,523.531,524.485,524.4,524.178,531.684,531.034,539.26
Nonprescription drugs,96.59,95.867,95.966,96.442,97.048,97.37,97.411,99.0,98.163,98.046,98.237,97.309
Medical equipment and supplies,101.924,101.295,99.755,101.789,103.438,104.034,102.009,102.003,101.577,102.459,103.465,102.461
Recreation commodities,80.605,79.985,79.896,79.853,79.955,79.851,79.557,79.699,79.743,80.01,80.063,79.631
Video and audio products,41.537,40.943,40.259,40.364,39.954,39.484,39.049,38.774,38.375,38.254,37.847,37.379
Televisions,1.787,1.737,1.668,1.653,1.627,1.587,1.557,1.536,1.521,1.499,1.466,1.439
Other video equipment,9.756,9.815,9.796,9.66,9.573,9.514,9.596,9.562,9.537,9.519,9.594,9.749
Audio equipment,27.472,26.965,26.982,28.126,27.506,27.276,26.96,27.26,27.508,27.652,27.066,26.294
Recorded music and music subscriptions,82.799,83.052,83.238,83.171,83.998,84.408,83.689,82.332,79.378,80.003,80.586,80.141
Pets and pet products,200.421,201.523,202.038,202.827,203.933,203.949,205.094,204.353,204.189,205.062,205.186,205.683
Pet food,151.723,152.726,153.469,154.079,154.985,155.156,156.355,156.185,155.656,156.534,156.5,156.207
"Purchase of pets, pet supplies, accessories",116.707,117.106,116.952,117.332,118.148,117.856,118.122,117.206,117.617,117.826,117.942,118.921
Sporting goods,113.279,111.405,111.841,111.535,111.605,111.835,110.42,111.426,113.047,113.385,114.291,113.484
Sports vehicles including bicycles,154.466,151.855,154.27,153.139,149.633,151.189,150.546,151.113,155.598,156.336,158.258,157.706
Sports equipment,78.674,77.961,77.525,77.807,78.94,78.619,77.514,77.444,77.118,77.389,77.344,77.09
Photographic equipment and supplies,53.533,52.701,52.606,53.108,53.257,53.751,54.234,54.507,54.9,54.477,54.407,53.817
Photographic equipment,22.466,22.057,22.039,22.183,22.178,22.399,22.64,22.588,22.777,22.794,22.722,22.316
Recreational reading materials,256.169,249.163,249.33,252.139,254.409,253.678,255.636,258.316,254.051,261.594,262.555,259.783
Newspapers and magazines,186.346,179.41,180.335,183.107,187.205,188.178,189.072,191.72,188.072,193.881,195.332,192.77
Recreational books,97.419,96.293,95.684,96.138,94.951,93.414,94.601,95.032,93.871,96.465,96.211,95.611
Other recreational goods,36.266,36.046,35.845,35.379,35.349,35.258,34.965,35.082,34.881,34.803,34.648,34.264
Toys,32.342,32.011,31.688,31.288,31.201,31.098,30.735,30.923,30.857,30.636,30.352,30.081
"Toys, games, hobbies and playground equipment",40.027,39.769,39.801,39.531,39.312,39.227,38.682,39.013,38.866,38.484,38.076,37.779
"Sewing machines, fabric and supplies",102.169,104.032,106.64,103.868,102.15,102.566,102.863,101.484,98.724,98.994,99.842,98.893
Music instruments and accessories,98.962,99.464,100.079,99.541,102.009,101.731,102.612,102.203,100.545,103.304,105.324,102.629
Education and communication commodities,73.539,73.029,72.953,72.37,72.04,71.229,71.841,72.532,71.663,70.692,70.48,69.684
Educational books and supplies,690.087,691.467,689.274,688.985,685.3,686.278,681.88,690.926,681.935,678.937,680.281,680.089
College textbooks,236.214,238.122,238.055,238.826,237.06,238.258,235.942,240.785,235.332,233.943,235.006,235.265
Information technology commodities,53.196,52.674,52.656,52.105,51.881,51.081,51.775,52.212,51.604,50.75,50.514,49.757
"Computers, peripherals, and smart home assistants",40.173,39.832,39.924,39.602,39.41,38.629,39.506,40.027,39.497,38.784,38.783,38.254
Computer software and accessories,31.014,31.123,30.847,29.548,29.658,30.486,29.322,28.997,28.956,28.88,28.077,28.02
"Telephone hardware, calculators, and other consumer information items",17.337,16.99,16.835,16.661,16.586,16.417,16.271,16.161,16.038,15.81,15.522,15.124
Alcoholic beverages,251.448,251.907,251.739,251.33,252.319,252.839,253.75,253.907,253.395,253.006,252.244,252.598
Alcoholic beverages at home,204.526,205.357,204.796,204.169,205.632,206.137,206.585,207.175,206.149,205.75,204.907,204.665
"Beer, ale, and other malt beverages at home",228.551,230.083,228.915,228.262,229.356,230.226,231.666,231.753,230.611,231.09,229.734,231.06
Distilled spirits at home,194.442,196.436,195.798,194.733,194.584,196.062,196.417,196.046,194.866,192.502,192.166,193.254
Whiskey at home,207.263,209.502,209.794,206.046,204.719,205.945,210.151,210.739,208.256,204.425,204.246,204.407
"Distilled spirits, excluding whiskey, at home",189.766,191.939,191.064,190.38,189.883,190.246,190.607,190.74,189.47,187.64,187.302,187.821
Wine at home,171.124,171.381,171.199,171.173,172.669,172.675,172.469,173.019,172.638,171.825,171.372,169.734
Alcoholic beverages away from home,354.166,353.257,353.967,354.578,353.734,354.57,355.923,355.739,356.532,355.939,355.902,357.664
"Beer, ale, and other malt beverages away from home",175.305,175.116,176.121,175.706,174.547,174.813,175.167,174.123,174.701,174.274,174.305,175.329
Wine away from home,190.953,190.916,190.11,190.417,190.717,191.22,192.218,192.211,192.533,192.476,192.161,192.856
Distilled spirits away from home,189.292,187.597,188.386,190.253,190.488,190.623,191.416,192.133,192.772,192.569,192.692,192.885
Other goods,112.576,113.123,113.455,113.625,113.939,113.748,114.302,115.019,115.012,115.517,115.804,115.325
Tobacco and smoking products,1085.654,1090.878,1103.519,1103.503,1108.156,1111.851,1119.922,1125.53,1130.366,1132.586,1137.589,1141.296
Cigarettes,443.917,445.986,451.577,451.801,453.77,454.893,458.653,461.119,463.561,464.306,466.38,467.944
Tobacco products other than cigarettes,279.065,280.445,280.186,278.424,280.002,280.684,281.52,284.137,283.59,283.637,283.894,283.361
Personal care products,161.397,160.772,160.19,160.868,160.588,160.148,161.071,161.094,160.662,161.103,161.193,159.352
"Hair, dental, shaving, and miscellaneous personal care products",103.02,102.835,102.405,102.999,103.208,102.701,103.308,102.898,102.563,103.371,103.776,103.168
"Cosmetics, perfume, bath, nail preparations and implements",184.632,183.43,182.898,183.312,182.107,182.115,183.13,184.129,183.76,183.061,182.375,178.974
Miscellaneous personal goods,71.432,73.922,73.699,73.508,74.458,73.397,72.963,75.221,74.799,76.115,76.301,75.951
"Stationery, stationery supplies, gift wrap",146.869,149.368,149.554,148.87,148.026,149.315,149.757,152.21,153.627,156.255,155.474,157.977
Infants' equipment,71.391,70.643,70.127,70.785,71.53,71.713,71.385,71.743,70.294,72.158,68.185,67.777
Services less energy services,332.782,333.483,334.33,335.279,335.874,336.835,337.76,338.617,339.435,340.34,341.247,341.919
Shelter,313.019,314.047,315.086,316.186,316.988,317.963,318.806,319.406,320.381,320.817,321.622,322.262
Rent of shelter,326.213,327.279,328.52,329.694,330.599,331.59,332.498,333.083,334.164,334.372,335.298,335.958
Rent of primary residence,325.317,326.329,327.6,328.817,329.697,330.93,331.883,332.735,333.865,334.549,335.419,336.333
Lodging away from home,163.547,165.229,165.785,167.495,167.182,166.963,167.666,165.631,168.075,164.258,165.173,162.915
"Housing at school, excluding board",556.448,557.488,558.635,559.726,560.903,561.954,562.887,563.614,564.649,565.484,566.227,568.11
Other lodging away from home including hotels and motels,334.548,338.36,339.555,343.429,342.61,342.02,343.573,338.804,344.38,335.477,337.538,332.16
Owners' equivalent rent of residences,320.567,321.561,322.587,323.618,324.49,325.472,326.301,327.052,327.873,328.57,329.359,330.158
Owners' equivalent rent of primary residence,320.58,321.582,322.613,323.645,324.525,325.51,326.34,327.09,327.914,328.613,329.402,330.201
Tenants' and household insurance,151.641,151.737,151.471,151.423,151.569,152.159,152.186,151.777,151.787,151.906,151.842,151.654
Water and sewer and trash collection services,241.34,241.646,242.434,243.201,243.763,244.387,244.999,245.542,246.139,247.02,247.448,247.995
Water and sewerage maintenance,560.296,560.555,562.559,564.58,565.769,567.641,569.081,570.046,571.744,573.769,574.95,576.548
Garbage and trash collection,475.687,477.474,478.569,479.449,480.865,480.984,482.138,483.987,484.346,486.133,486.485,486.708
Household operations,191.562,191.011,190.707,191.815,190.641,195.896,197.078,196.889,196.414,197.005,197.336,197.513
Domestic services,169.954,170.213,170.571,170.575,166.852,167.024,169.409,168.786,167.779,170.404,172.001,172.015
"Moving, storage, freight expense",170.937,168.971,169.952,171.256,173.164,175.642,179.379,180.615,178.118,173.947,169.806,170.734
Medical care services,525.028,525.728,527.163,528.675,531.328,533.341,536.186,539.869,541.769,546.172,548.377,550.13
Professional services,380.221,380.682,380.329,380.134,381.115,382.26,382.847,383.325,384.149,384.687,385.354,385.686
Physicians' services,381.812,382.114,381.183,381.593,381.935,382.568,383.322,383.335,384.35,385.035,385.596,385.943
Dental services,489.921,490.171,490.031,490.219,491.87,496.738,497.873,499.412,500.576,501.347,502.548,503.489
Eyeglasses and eye care,190.551,190.968,190.796,190.689,191.654,191.768,191.899,192.015,190.799,191.643,192.157,192.205
Services by other medical professionals,237.356,238.247,238.88,238.339,238.942,239.093,238.987,239.806,240.832,239.906,239.923,240.138
Hospital and related services,877.211,873.736,876.146,874.498,878.188,877.47,881.215,889.468,890.381,898.584,901.593,903.267
Hospital services,335.961,334.137,335.188,334.132,335.627,335.502,337.231,340.867,340.751,344.443,345.608,346.277
Inpatient hospital services,326.366,324.843,326.591,326.096,327.823,327.619,329.223,331.549,331.945,335.61,337.055,338.11
Outpatient hospital services,744.276,741.187,742.405,738.795,740.815,739.814,744.551,753.709,752.786,757.143,758.725,759.911
Nursing homes and adult day services,232.667,232.951,233.511,234.103,234.411,235.168,235.444,235.501,236.662,237.181,237.651,238.313
Care of invalids and elderly at home,122.695,123.508,123.738,124.084,124.086,124.27,124.503,124.605,124.456,124.834,124.421,124.607
Health insurance,142.869,144.69,146.549,148.679,150.935,152.891,155.525,158.555,160.768,164.375,166.852,169.236
